#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14]
6275, 4290.26, -1, 79, -0.00246091, 0.0843692, 1.98969, 0.945232, 0.076661, -0.0155, 0.948462, 0.736, 1976, 2020, 2488
6276, 4333.85, -1, 79, -0.000837758, 0.0849277, 1.98898, 0.957379, 0.0752463, -0.000231847, 0.960331, 0.738, 1976, 2056, 2544
6277, 4376.6, -1, 79, 0.00101229, 0.0656942, 1.98826, 0.965482, 0.0732836, -0.00337941, 0.968265, 0.738, 2132, 2028, 2548
6278, 4419.13, -1, 79, 0.00471239, 0.0222355, 1.98687, 0.950481, 0.0682464, -0.000517062, 0.952928, 0.738, 2104, 2028, 2532
6279, 4464, -1, 79, 0.00666716, -0.0044855, 1.98613, 0.930318, 0.0644244, 0.000880503, 0.932546, 0.738, 2084, 2060, 2548
6280, 4510, -1, 79, 0.00747001, -0.0290946, 1.98477, 0.898644, 0.0594052, 0.0119954, 0.900685, 0.741, 1996, 2008, 2556
6281, 4557.95, -1, 79, 0.00563741, -0.0537212, 1.98416, 0.849925, 0.0537163, 0.0190385, 0.851833, 0.743, 2020, 1980, 2528
6282, 4602.85, -1, 79, 0.00586431, -0.0693245, 1.9835, 0.809214, 0.0504477, 0.0277223, 0.811258, 0.746, 2020, 1964, 2544
6283, 4640.83, -1, 79, 0.00778417, -0.0927293, 1.98318, 0.734337, 0.0430945, 0.035296, 0.736447, 0.751, 2016, 2020, 2552
6284, 4679.68, -1, 79, 0.00987856, -0.10828, 1.98289, 0.674714, 0.0373039, 0.0396868, 0.676909, 0.754, 1988, 2004, 2488
6285, 4717.7, -1, 79, 0.0111003, -0.120079, 1.98266, 0.618322, 0.0304527, 0.0400952, 0.620368, 0.757, 1984, 1956, 2516
6286, 4756.55, -1, 79, 0.0116064, -0.13172, 1.98229, 0.54971, 0.0233289, 0.0463222, 0.552151, 0.762, 1968, 2068, 2544
6287, 4795.67, -1, 79, 0.0118857, -0.135315, 1.98241, 0.523004, 0.0206695, 0.0415483, 0.525058, 0.763, 1944, 2024, 2552
6288, 4833.68, -1, 79, 0.0129678, -0.144845, 1.98264, 0.43291, 0.0122003, 0.0444191, 0.435354, 0.769, 2000, 2024, 2584
6289, 4871.53, -1, 79, 0.0127409, -0.149156, 1.98343, 0.360743, 0.00552964, 0.0442201, 0.363485, 0.774, 2020, 2016, 2472
6290, 4909.26, -1, 79, 0.0122871, -0.148318, 1.98428, 0.270949, -0.00246683, 0.0366693, 0.27343, 0.779, 2072, 2016, 2504
