#BEGIN frameIdx[0], TimeInSec[1], FlagAnimationStart[2], batteryPercent[3], Roll[4], Pitch[5], Yaw[6], Vx[7], Vy[8], Vz[9], Vmag[10], Altitude[11], PosLatitude(ax)[12], PosLongitude(ay)[13], PosElevation(az)[14], DroneTime[15]
4424, 3830.38, -1, 65, -0.0031765, -0.00263545, 1.93299, -0.00193978, -0.00126606, 0, 0.00231639, 0, 2048, 2048, 2496, 727904523
4425, 3878.28, -1, 65, -0.000139626, -0.00113446, 1.93292, -0.00234222, 0.00281157, 0, 0.00365936, 0, 2036, 2072, 2548, 727939679
4426, 3919.85, -1, 65, -0.00237365, -0.000506145, 1.93278, -0.00162293, 0.00231677, 0, 0.00282866, 0, 2024, 1980, 2564, 727984998
4427, 3964.08, -1, 65, -0.000959931, -0.000872665, 1.93325, -0.00280971, -0.0041, 0, 0.00497036, 0, 2044, 2032, 2516, 728035108
4428, 4004.3, -1, 65, -0.0018326, -0.00113446, 1.93138, -0.00106497, 0.00158122, 0, 0.00190641, 0, 2040, 2084, 2584, 728075238
4429, 4056.5, -1, 65, -0.00340339, 0.000628319, 1.93042, -0.00260192, 0.00157842, 0, 0.00304326, 0, 2064, 2048, 2524, 728135602
4430, 4103.07, -1, 65, 0.000645772, -0.000418879, 1.92909, -6.8348e-05, 0.00241672, 0, 0.00241769, 0, 2084, 2056, 2520, 728176007
4431, 4146.92, -1, 65, -0.00315905, 0.00101229, 1.93089, -0.00196747, 0.000702063, 0, 0.00208898, 0, 2092, 2060, 2532, 728216199
4432, 4193.61, -1, 65, -0.00712094, 0.00321141, 1.93033, 0.00255541, 0.00658539, 0, 0.00706381, 0, 1984, 2000, 2572, 728261212
4433, 4238.66, -1, 65, -0.00645772, 0.00148353, 1.93124, 0.000834211, 0.00438711, 0, 0.00446572, 0, 2004, 2032, 2576, 728301435
4434, 4279.73, -1, 65, 0.000122173, 0.000558505, 1.93126, 0.00058068, 0.0020284, 0, 0.00210988, 0, 1996, 1988, 2568, 728351453
4435, 4322.97, -1, 65, 3.49066e-05, 0.00230383, 1.93101, 0.00124105, 0.00092458, 0, 0.0015476, 0, 2096, 2080, 2560, 728396894
4436, 4370.77, -1, 65, 0.0044855, 0.00352557, 1.93163, 0.00218416, -0.0018167, 0, 0.00284094, 0, 2056, 1992, 2600, 728437024
4437, 4415.51, -1, 65, 0.00286234, 0.00720821, 1.9314, 0.00392636, -0.00409324, 0, 0.00567194, 0, 2076, 2076, 2616, 728482007
4438, 4464.79, -1, 65, -0.00350811, 0.0047822, 1.93103, 0.00325048, -0.00137607, 0, 0.00352976, 0, 2004, 2016, 2620, 728527234
4439, 4507, -1, 65, -0.00514872, -0.00397935, 1.93126, 0.00276616, 0.00166599, 0, 0.00322911, 0, 2028, 2076, 2600, 728582471
4440, 4547.44, -1, 65, -0.00705113, -0.0104894, 1.931, -0.00201316, 0.00105401, 0, 0.00227239, 0, 2084, 1996, 2640, 728622998
4441, 4590.26, -1, 65, -0.00776672, -0.0106291, 1.93063, -0.00445624, 0.00396882, 0, 0.00596738, 0, 2060, 1976, 2636, 728657880
